id_key,transmitter_no,vessel_name,latitude,longitude,reportdate,speed,heading,gross_tonnage,length,width,registered_gear_type,begin_date,end_date,registered_fishing_region,status,locale,vbd_id_key,vbd_dist,vbd_dtime,segment,velocity,heading_change,distance,time_elapsed,geom
VMS_74067_20140116170000_m5p979_99p762,74067,74067,-5.979,99.762,2014-01-16 17:00:00,0,128,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Transit,Null,,,,2014-01-16 17:00:00 GMT_b13_m2,0.26,264.0,0.12,0.47,0101000020E610000054E3A59BC4F05840D122DBF97EEA17C0
VMS_74067_20140118060000_m5p981_99p756,74067,74067,-5.981,99.756,2014-01-18 06:00:00,20,264,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Transit,Null,,,,2014-01-18 GMT_b14_m3,2.26,-120.0,30.98,13.73,0101000020E6100000AAF1D24D62F05840068195438BEC17C0
VMS_74067_20140118064600_m5p977_99p782,74067,74067,-5.977,99.782,2014-01-18 06:46:00,0,113,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Transit,Null,,,,2014-01-18 GMT_b14_m3,2.04,-152.0,29.51,14.5,0101000020E6100000355EBA490CF258409CC420B072E817C0
VMS_74067_20140118070000_m5p976_99p783,74067,74067,-5.976,99.783,2014-01-18 07:00:00,0,119,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000273108AC1CF258408195438B6CE717C0
VMS_74067_20140118080000_m5p975_99p786,74067,74067,-5.975,99.786,2014-01-18 08:00:00,0,130,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000FCA9F1D24DF258406666666666E617C0
VMS_74067_20140118082900_m5p975_99p787,74067,74067,-5.975,99.787,2014-01-18 08:29:00,20,337,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000EE7C3F355EF258406666666666E617C0
VMS_74067_20140118083600_m5p975_99p787,74067,74067,-5.975,99.787,2014-01-18 08:36:00,0,141,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000EE7C3F355EF258406666666666E617C0
VMS_74067_20140118090000_m5p975_99p788,74067,74067,-5.975,99.788,2014-01-18 09:00:00,10,127,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000DF4F8D976EF258406666666666E617C0
VMS_74067_20140118100000_m5p976_99p789,74067,74067,-5.976,99.789,2014-01-18 10:00:00,0,8,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000D122DBF97EF258408195438B6CE717C0
VMS_74067_20140118101000_m5p976_99p789,74067,74067,-5.976,99.789,2014-01-18 10:10:00,0,165,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000D122DBF97EF258408195438B6CE717C0
VMS_74067_20140118101900_m5p976_99p79,74067,74067,-5.976,99.79,2014-01-18 10:19:00,0,123,107,26.34,8.25,Purse Seine (Pukat Cincin) Pelagis Kecil,2015-05-19,2016-05-18,713. 712,Stationary,Null,,,,Null,Null,Null,Null,Null,0101000020E6100000C3F5285C8FF258408195438B6CE717C0
