id_Key,TRANSMITTER_NO,VESSEL_NAME,LATITUDE,LONGITUDE,REPORTDATE,SPEED,HEADING,GROSS_TONNAGE,LENGTH,WIDTH,REGISTERED_GEAR_TYPE,BEGIN_DATE,END_DATE,REGISTERED_FISHING_REGION
VMS_4949257_20140107214400_m8p6061_67p015,4949257,4949257,-8.6061,67.015,20140107214400,38,285,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107224400_m8p5883_66p9678,4949257,4949257,-8.5883,66.9678,20140107224400,22,290,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140107234400_m8p5353_66p9664,4949257,4949257,-8.5353,66.9664,20140107234400,70,5,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108004400_m8p4819_67p0089,4949257,4949257,-8.4819,67.0089,20140108004400,59,350,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108014400_m8p4242_67p0722,4949257,4949257,-8.4242,67.0722,20140108014400,65,80,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108024400_m8p4069_67p1786,4949257,4949257,-8.4069,67.1786,20140108024400,65,80,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108034400_m8p3625_67p2533,4949257,4949257,-8.3625,67.2533,20140108034400,59,350,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108044400_m8p3172_67p2281,4949257,4949257,-8.3172,67.2281,20140108044400,32,280,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108054400_m8p3125_67p1886,4949257,4949257,-8.3125,67.1886,20140108054400,38,270,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108064400_m8p3089_67p1356,4949257,4949257,-8.3089,67.1356,20140108064400,43,295,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108074400_m8p2989_67p0789,4949257,4949257,-8.2989,67.0789,20140108074400,32,260,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108084400_m8p2956_67p0158,4949257,4949257,-8.2956,67.0158,20140108084400,43,250,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108094400_m8p3014_66p9769,4949257,4949257,-8.3014,66.9769,20140108094400,22,185,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108104400_m8p3039_67p0436,4949257,4949257,-8.3039,67.0436,20140108104400,54,95,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108114400_m8p3133_67p1275,4949257,4949257,-8.3133,67.1275,20140108114400,43,95,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108124400_m8p3131_67p2089,4949257,4949257,-8.3131,67.2089,20140108124400,54,85,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108134400_m8p3042_67p2244,4949257,4949257,-8.3042,67.2244,20140108134400,11,10,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108144400_m8p2942_67p2294,4949257,4949257,-8.2942,67.2294,20140108144400,11,55,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108154400_m8p3244_67p2547,4949257,4949257,-8.3244,67.2547,20140108154400,11,135,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108164400_m8p3375_67p3117,4949257,4949257,-8.3375,67.3117,20140108164400,32,115,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108174400_m8p3522_67p3694,4949257,4949257,-8.3522,67.3694,20140108174400,43,100,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108184400_m8p3697_67p4208,4949257,4949257,-8.3697,67.4208,20140108184400,32,115,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108194400_m8p3736_67p4586,4949257,4949257,-8.3736,67.4586,20140108194400,43,110,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108204400_m8p3997_67p5139,4949257,4949257,-8.3997,67.5139,20140108204400,38,70,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108214400_m8p3961_67p5703,4949257,4949257,-8.3961,67.5703,20140108214400,11,140,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108224400_m8p4097_67p6033,4949257,4949257,-8.4097,67.6033,20140108224400,5,330,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140108234400_m8p3914_67p6125,4949257,4949257,-8.3914,67.6125,20140108234400,70,350,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109004400_m8p3122_67p5614,4949257,4949257,-8.3122,67.5614,20140109004400,59,265,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109014400_m8p3136_67p4628,4949257,4949257,-8.3136,67.4628,20140109014400,59,265,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109024400_m8p3169_67p3681,4949257,4949257,-8.3169,67.3681,20140109024400,59,275,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109034400_m8p3142_67p2722,4949257,4949257,-8.3142,67.2722,20140109034400,65,270,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109044400_m8p3997_67p2511,4949257,4949257,-8.3997,67.2511,20140109044400,59,175,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109054400_m8p4381_67p2589,4949257,4949257,-8.4381,67.2589,20140109054400,43,35,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109064400_m8p3997_67p2836,4949257,4949257,-8.3997,67.2836,20140109064400,5,25,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109074400_m8p3867_67p2861,4949257,4949257,-8.3867,67.2861,20140109074400,5,5,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109084400_m8p3672_67p2897,4949257,4949257,-8.3672,67.2897,20140109084400,11,0,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109094400_m8p3703_67p2511,4949257,4949257,-8.3703,67.2511,20140109094400,49,240,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109104400_m8p3739_67p1919,4949257,4949257,-8.3739,67.1919,20140109104400,49,270,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109114400_m8p3669_67p1192,4949257,4949257,-8.3669,67.1192,20140109114400,11,265,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109124400_m8p3633_67p0478,4949257,4949257,-8.3633,67.0478,20140109124400,43,280,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109134400_m8p3775_66p9883,4949257,4949257,-8.3775,66.9883,20140109134400,11,305,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
VMS_4949257_20140109144400_m8p4036_66p9589,4949257,4949257,-8.4036,66.9589,20140109144400,27,45,193,30.82,6.8,Rawai Tuna,2016-03-04,2017-03-03,572. 573
